Município,Equipes Abril/2007,Equipes Abril/2010,Equipes Abril/2013,Equipes Abril/2016,Equipes Abril/2019,Equipes Abril/2020,Equipes Abril/2021,Equipes Abril/2022,Equipes Abril/2023,população 2021,população 2020,população 2019,população 2016,população 2013,população 2010,população 2007,Qtd de UBS 2007,Qtd de UBS 2010,Qtd de UBS 2013,Qtd de UBS 2016,Qtd de UBS 2019,Qtd de UBS 2020,Qtd de UBS 2021,Qtd de UBS 2022,Qtd de UBS 2023
TOTAL,1.694,2.962,3.341,3.867,4.212,4.397,7.614,7.884,8.186,14.985.284,14.930.634,14.873.064,14.689.878,14.505.213,14.302.738,14.086.718,2.582,2.815,3.037,3.303,3.532,3.598,3.729,3.805,3.897
290010 ABAIRA,4,4,4,4,4,5,10,10,10,8.681,8.710,8.739,8.829,8.920,9.020,9.127,4,4,4,4,4,5,5,5,5
290020 ABARE,-,5,5,6,3,6,11,11,15,20.594,20.347,20.086,19.257,18.422,17.505,16.527,4,5,5,5,5,5,5,6,7
290030 ACAJUTIBA,-,6,7,7,7,7,11,12,14,15.214,15.187,15.159,15.066,14.975,14.875,14.767,2,6,7,6,6,6,6,7,7
290035 ADUSTINA,5,4,4,4,6,6,8,8,10,17.209,17.126,17.040,16.764,16.488,16.185,15.860,3,5,4,4,5,5,5,5,6
290040 AGUA FRIA,5,7,7,4,8,8,15,15,15,17.096,17.033,16.970,16.762,16.553,16.324,16.080,6,7,7,7,7,7,7,7,7
290050 ERICO CARDOSO,4,6,7,6,6,6,11,11,11,10.513,10.560,10.610,10.768,10.929,11.104,11.290,4,6,7,7,6,6,6,6,6
290060 AIQUARA,2,2,2,1,1,2,4,4,4,4.387,4.416,4.446,4.541,4.638,4.743,4.855,2,2,2,1,2,2,2,2,2
290070 ALAGOINHAS,23,28,31,31,36,36,57,55,60,153.023,152.327,151.596,149.268,146.921,144.346,141.600,27,27,31,30,35,35,37,36,37
290080 ALCOBACA,-,10,10,10,10,10,19,22,21,22.509,22.490,22.470,22.405,22.340,22.268,22.193,10,9,9,9,9,9,10,11,10
290090 ALMADINA,-,2,2,4,4,4,5,6,6,5.273,5.366,5.464,5.775,6.089,6.433,6.800,3,2,3,4,3,3,3,3,3
290100 AMARGOSA,8,11,11,10,12,12,23,23,23,37.631,37.441,37.241,36.605,35.964,35.261,34.511,7,9,10,10,11,11,11,11,11
290110 AMELIA RODRIGUES,1,7,7,6,8,11,20,18,18,24.997,25.048,25.102,25.274,25.447,25.637,25.839,5,9,7,7,10,9,7,7,7
290115 AMERICA DOURADA,4,3,6,8,7,8,15,16,17,16.086,16.090,16.094,16.105,16.117,16.131,16.147,5,4,7,11,9,9,9,10,10
290120 ANAGE,-,7,7,13,12,12,21,21,21,21.229,21.607,22.005,23.269,24.543,25.941,27.433,5,7,6,10,9,9,9,9,9
290130 ANDARAI,4,6,5,6,6,6,11,11,11,13.122,13.132,13.143,13.176,13.211,13.247,13.288,5,6,5,5,5,5,5,5,5
290135 ANDORINHA,-,6,6,8,8,7,11,12,12,14.416,14.503,14.595,14.885,15.178,15.500,15.843,7,7,7,8,8,7,7,7,7
290140 ANGICAL,2,2,2,3,5,5,10,12,14,13.902,13.938,13.977,14.100,14.224,14.360,14.505,2,2,2,5,5,5,5,5,5
290150 ANGUERA,-,2,4,5,6,6,11,11,11,11.369,11.297,11.221,10.980,10.736,10.468,10.183,2,2,3,4,6,5,5,5,5
290160 ANTAS,2,2,2,2,3,3,5,5,5,19.659,19.479,19.291,18.690,18.084,17.420,16.711,1,1,2,2,2,2,2,2,2
290170 ANTONIO CARDOSO,2,4,5,6,6,6,11,11,11,11.670,11.677,11.683,11.707,11.730,11.755,11.783,5,6,5,6,6,6,5,5,5
290180 ANTONIO GONCALVES,-,3,3,5,6,6,11,11,11,11.955,11.878,11.798,11.545,11.286,11.005,10.703,4,4,5,7,6,6,6,6,5
290190 APORA,5,7,7,7,7,7,9,11,11,17.840,17.788,17.731,17.556,17.376,17.181,16.972,7,7,7,7,7,7,7,7,7
290195 APUAREMA,3,3,4,4,2,2,3,6,6,7.274,7.302,7.330,7.422,7.514,7.615,7.723,3,3,4,4,3,3,4,5,5
290200 ARACATU,4,6,7,7,7,7,13,12,12,12.960,13.045,13.135,13.420,13.708,14.023,14.359,4,5,6,6,6,7,7,6,6
290205 ARACAS,-,3,4,5,5,5,9,9,9,12.237,12.208,12.177,12.076,11.973,11.862,11.744,-,3,3,4,4,4,4,4,4
290210 ARACI,10,12,9,7,9,1,2,2,2,54.903,54.648,54.379,53.526,52.665,51.723,50.717,9,10,7,7,7,1,2,2,2
290220 ARAMARI,4,4,4,4,4,5,7,6,6,11.519,11.461,11.397,11.198,10.997,10.777,10.541,4,4,4,4,4,4,4,4,4
290225 ARATACA,4,4,4,6,6,6,11,11,11,10.904,10.961,11.019,11.203,11.390,11.594,11.810,7,6,6,6,6,6,6,6,6
290230 ARATUIPE,2,4,4,4,4,4,8,8,8,8.848,8.837,8.825,8.789,8.751,8.709,8.666,4,5,5,4,4,4,4,4,4
290240 AURELINO LEAL,-,6,6,6,6,6,12,12,14,11.079,11.299,11.531,12.269,13.013,13.828,14.698,3,6,6,7,7,7,7,7,7
290250 BAIANOPOLIS,4,4,4,7,7,7,12,13,13,13.979,13.929,13.877,13.713,13.549,13.367,13.174,5,4,4,6,6,6,6,6,6
290260 BAIXA GRANDE,4,4,3,3,6,6,12,12,12,20.431,20.449,20.468,20.527,20.587,20.653,20.723,3,2,2,2,6,6,6,6,6
290265 BANZAE,1,5,6,5,6,7,12,13,14,13.251,13.240,13.229,13.193,13.156,13.117,13.073,5,6,6,4,5,5,5,5,6
290270 BARRA,-,5,4,5,4,4,5,5,6,54.225,53.910,53.578,52.524,51.461,50.295,49.052,2,2,2,3,2,2,2,2,2
290280 BARRA DA ESTIVA,7,7,8,8,8,8,16,16,16,20.198,20.392,20.598,21.249,21.905,22.625,23.393,8,7,8,8,8,8,8,8,8
290290 BARRA DO CHOCA,12,12,13,13,14,12,24,24,25,30.831,31.209,31.603,32.864,34.132,35.527,37.013,10,11,12,11,11,11,11,11,11
290300 BARRA DO MENDES,-,3,5,6,6,7,13,14,13,13.128,13.159,13.189,13.290,13.391,13.502,13.621,1,3,5,5,5,6,6,6,6
290310 BARRA DO ROCHA,2,2,2,3,3,4,6,6,4,5.515,5.612,5.714,6.039,6.365,6.725,7.108,3,3,2,2,2,2,2,2,2
290320 BARREIRAS,20,18,31,34,40,43,92,94,95,158.432,156.975,155.439,150.554,145.628,140.228,134.467,16,17,29,32,39,39,37,39,40
290323 BARRO ALTO,5,5,5,7,7,7,9,9,9,15.171,15.054,14.931,14.541,14.148,13.717,13.258,5,5,5,7,7,7,7,6,6
290327 BARROCAS,4,2,4,2,1,1,15,16,16,16.225,16.105,15.978,15.575,15.168,14.723,14.248,3,1,2,2,1,1,8,8,8
290330 BARRO PRETO,3,-,-,-,-,-,-,-,-,5.312,5.448,5.591,6.049,6.509,7.013,7.553,5,2,2,2,1,1,1,1,1
290340 BELMONTE,-,8,8,8,8,8,15,16,17,23.540,23.437,23.328,22.981,22.631,22.248,21.839,7,8,8,9,9,9,10,9,10
290350 BELO CAMPO,5,6,6,6,6,6,12,13,14,17.013,17.109,17.211,17.533,17.859,18.215,18.596,8,9,6,6,6,6,6,6,6
290360 BIRITINGA,4,6,7,7,8,9,13,14,14,15.989,15.984,15.979,15.964,15.947,15.929,15.910,5,6,6,6,7,8,8,8,8
290370 BOA NOVA,6,5,6,7,6,6,12,12,12,12.039,12.329,12.633,13.603,14.582,15.655,16.798,7,6,6,8,8,8,8,8,8
290380 BOA VISTA DO TUPIM,5,8,8,8,9,9,18,18,18,18.491,18.531,18.576,18.715,18.856,19.010,19.175,6,8,8,8,8,8,10,10,10
290390 BOM JESUS DA LAPA,-,2,6,15,29,29,61,65,65,70.151,69.662,69.148,67.510,65.860,64.051,62.120,8,1,3,9,18,18,23,24,24
290395 BOM JESUS DA SERRA,-,3,3,4,4,4,8,8,8,9.768,9.823,9.880,10.065,10.253,10.458,10.676,2,4,3,4,4,4,4,4,4
290400 BONINAL,4,4,4,5,5,5,8,8,9,14.518,14.446,14.368,14.122,13.874,13.602,13.311,4,4,5,5,5,5,5,5,5
290405 BONITO,3,6,6,7,7,7,13,13,13,16.999,16.884,16.764,16.378,15.990,15.564,15.110,5,6,7,7,7,7,7,7,7
290410 BOQUIRA,-,5,6,8,7,7,11,12,15,21.486,21.497,21.508,21.542,21.577,21.615,21.656,5,7,6,7,7,7,7,7,8
290420 BOTUPORA,3,5,4,6,6,6,9,8,8,10.050,10.129,10.211,10.480,10.749,11.043,11.359,4,6,4,5,5,5,7,7,7
290430 BREJOES,1,5,5,5,6,6,8,8,8,14.155,14.222,14.295,14.526,14.756,15.010,15.282,4,5,5,5,6,6,6,6,6
290440 BREJOLANDIA,1,1,1,-,6,6,11,11,10,10.675,10.618,10.557,10.364,10.169,9.956,9.729,1,1,1,-,5,5,5,5,5
290450 BROTAS DE MACAUBAS,-,3,5,6,6,6,10,10,11,10.705,10.804,10.907,11.240,11.577,11.942,12.335,3,3,5,5,5,5,5,5,5
290460 BRUMADO,14,15,17,17,17,19,38,38,42,67.468,67.335,67.195,66.749,66.300,65.808,65.283,13,12,13,14,14,15,15,15,15
290470 BUERAREMA,2,7,7,7,9,9,16,15,15,18.269,18.306,18.349,18.479,18.608,18.751,18.905,7,7,7,8,9,9,9,8,8
290475 BURITIRAMA,1,2,2,5,6,6,8,8,8,21.374,21.276,21.174,20.847,20.516,20.155,19.770,3,1,2,5,5,5,5,5,5
290480 CAATIBA,4,4,4,4,3,3,5,6,6,6.232,6.488,6.758,7.621,8.489,9.440,10.457,5,5,4,4,3,3,3,3,3
290485 CABACEIRAS DO PARAGUACU,2,5,6,6,2,2,4,4,19,19.010,18.911,18.807,18.475,18.142,17.775,17.384,6,6,7,7,2,2,3,2,9
290490 CACHOEIRA,13,13,14,15,15,15,28,27,28,33.659,33.567,33.470,33.164,32.855,32.515,32.152,15,15,13,13,13,13,13,13,13
290500 CACULE,4,7,7,7,8,8,16,16,16,23.407,23.291,23.170,22.787,22.403,21.980,21.528,6,8,8,8,9,9,9,9,9
290510 CAEM,1,1,1,2,2,3,3,3,2,8.912,9.058,9.213,9.701,10.194,10.736,11.314,1,2,1,1,1,1,2,2,1
290515 CAETANOS,-,-,-,-,7,9,15,13,13,14.671,14.608,14.542,14.333,14.123,13.893,13.646,1,1,1,1,7,9,8,8,8
290520 CAETITE,4,7,10,13,13,13,26,28,28,51.184,51.081,50.975,50.632,50.287,49.908,49.507,4,6,9,11,11,11,13,13,14
290530 CAFARNAUM,-,4,6,5,8,8,15,16,15,18.585,18.513,18.437,18.193,17.947,17.677,17.390,1,3,5,5,8,8,10,9,8
290540 CAIRU,4,4,6,6,7,7,14,14,14,18.666,18.427,18.176,17.377,16.571,15.687,14.744,4,4,5,6,7,7,8,8,8
290550 CALDEIRAO GRANDE,3,1,3,3,3,3,4,4,5,13.452,13.391,13.327,13.124,12.919,12.692,12.450,2,1,2,2,2,2,2,2,2
290560 CAMACAN,11,11,13,11,11,11,20,22,22,32.023,32.006,31.988,31.931,31.872,31.807,31.739,8,11,12,10,10,10,9,10,10
290570 CAMACARI,32,40,50,55,73,77,116,129,129,309.208,304.302,299.132,282.684,266.103,247.922,228.524,35,34,39,38,41,43,42,42,42
290580 CAMAMU,-,9,10,10,12,11,19,21,21,35.444,35.382,35.316,35.106,34.896,34.664,34.418,9,9,10,10,10,10,10,11,11
290590 CAMPO ALEGRE DE LOURDES,2,8,8,11,12,12,21,21,21,28.839,28.820,28.798,28.733,28.665,28.592,28.513,6,7,7,7,8,9,10,10,10
290600 CAMPO FORMOSO,-,2,3,3,3,3,4,6,10,71.754,71.487,71.206,70.312,69.413,68.427,67.373,3,2,2,3,3,3,4,5,6
290610 CANAPOLIS,3,-,2,2,3,3,5,5,5,9.694,9.703,9.711,9.738,9.763,9.793,9.824,6,2,2,4,4,4,4,4,4
290620 CANARANA,4,6,6,11,12,12,19,19,19,26.468,26.325,26.176,25.697,25.215,24.688,24.125,6,6,6,11,10,11,12,13,14
290630 CANAVIEIRAS,1,13,9,10,11,10,19,18,18,30.722,30.906,31.099,31.714,32.336,33.017,33.742,13,13,9,10,11,11,11,11,11
290640 CANDEAL,-,-,-,1,2,4,8,8,8,8.109,8.181,8.258,8.501,8.747,9.017,9.304,3,-,-,1,4,4,4,4,4
290650 CANDEIAS,7,10,20,21,25,25,38,38,42,87.820,87.458,87.076,85.863,84.639,83.298,81.867,25,22,20,20,22,23,24,26,26
290660 CANDIBA,3,3,3,4,4,5,8,8,8,14.415,14.368,14.319,14.162,14.005,13.833,13.650,3,3,3,3,3,4,5,5,6
290670 CANDIDO SALES,6,7,7,8,11,11,16,17,18,24.921,25.053,25.189,25.625,26.065,26.545,27.059,6,6,7,9,11,11,11,10,10
290680 CANSANCAO,-,1,12,11,14,14,18,18,20,34.929,34.882,34.834,34.681,34.525,34.355,34.174,1,1,10,10,11,11,11,11,14
290682 CANUDOS,5,2,3,2,2,2,5,4,12,16.832,16.753,16.668,16.401,16.133,15.839,15.524,4,1,2,2,2,3,3,3,7
290685 CAPELA DO ALTO ALEGRE,1,5,5,6,6,7,13,13,13,11.597,11.616,11.637,11.703,11.772,11.846,11.924,4,5,5,5,7,7,7,6,6
290687 CAPIM GROSSO,6,3,8,9,10,10,19,21,21,31.055,30.862,30.662,30.020,29.374,28.666,27.909,6,7,7,7,8,8,8,8,8
290689 CARAIBAS,5,5,5,6,6,6,9,9,9,8.659,8.801,8.951,9.426,9.905,10.430,10.990,5,5,5,5,6,6,5,5,5
290690 CARAVELAS,-,10,10,10,10,12,21,21,20,22.166,22.093,22.016,21.772,21.527,21.258,20.970,11,11,11,9,9,9,9,9,9
290700 CARDEAL DA SILVA,2,3,4,4,4,4,6,8,8,9.395,9.346,9.295,9.131,8.965,8.784,8.591,4,3,4,4,4,4,4,4,4
290710 CARINHANHA,6,8,9,9,10,10,13,14,17,29.118,29.070,29.018,28.857,28.695,28.518,28.327,6,8,9,9,9,9,9,9,8
290720 CASA NOVA,5,2,5,5,4,4,8,25,28,73.092,72.545,71.969,70.136,68.289,66.263,64.102,3,3,5,5,5,4,5,17,16
290730 CASTRO ALVES,7,9,11,12,12,12,22,22,22,26.369,26.318,26.264,26.095,25.924,25.736,25.537,7,9,10,10,10,10,10,10,10
290740 CATOLANDIA,-,1,1,3,3,3,4,5,5,3.619,3.599,3.577,3.508,3.440,3.364,3.283,1,1,1,2,2,2,2,2,2
290750 CATU,15,16,16,16,16,16,31,31,31,55.222,54.970,54.704,53.857,53.004,52.068,51.070,15,15,16,15,15,15,16,16,15
290755 CATURAMA,-,4,5,5,4,4,8,8,8,9.303,9.316,9.329,9.366,9.406,9.448,9.495,4,4,4,4,4,4,4,4,4
290760 CENTRAL,-,5,5,6,6,6,7,8,10,17.293,17.280,17.266,17.223,17.179,17.131,17.081,3,4,4,7,7,7,7,7,7
290770 CHORROCHO,-,4,5,5,5,5,9,8,8,11.221,11.200,11.177,11.105,11.033,10.953,10.868,5,5,4,4,4,4,4,4,4
290780 CICERO DANTAS,1,5,6,10,10,10,16,16,17,32.636,32.576,32.515,32.319,32.120,31.903,31.672,2,3,4,10,10,10,10,10,10
290790 CIPO,5,6,6,7,8,8,14,14,14,17.402,17.352,17.300,17.134,16.968,16.784,16.590,6,6,6,6,7,7,7,7,7
290800 COARACI,4,5,6,6,8,8,11,11,10,16.128,16.549,16.993,18.406,19.830,21.391,23.057,4,6,6,6,7,7,7,7,7
290810 COCOS,2,5,6,7,8,8,15,17,17,18.835,18.807,18.777,18.682,18.586,18.480,18.367,3,5,6,7,7,7,7,8,8
290820 CONCEICAO DA FEIRA,-,6,7,7,7,7,11,14,14,22.933,22.762,22.581,22.005,21.426,20.791,20.113,5,6,9,9,7,7,7,8,8
290830 CONCEICAO DO ALMEIDA,6,6,7,7,7,7,13,13,13,17.087,17.165,17.247,17.507,17.771,18.060,18.367,7,7,6,6,6,6,6,6,6
290840 CONCEICAO DO COITE,14,4,7,8,16,17,30,31,31,67.394,67.013,66.612,65.332,64.043,62.629,61.120,13,3,7,8,14,15,16,16,16
290850 CONCEICAO DO JACUIPE,4,7,7,7,11,11,20,24,29,33.631,33.398,33.153,32.373,31.587,30.726,29.806,5,7,7,6,10,10,10,13,16
290860 CONDE,7,8,8,8,9,9,12,12,12,26.223,26.035,25.837,25.208,24.574,23.879,23.138,8,9,9,9,10,10,10,10,10
290870 CONDEUBA,5,6,8,9,9,9,14,14,14,17.113,17.178,17.247,17.465,17.687,17.930,18.187,5,5,7,8,8,8,9,9,8
290880 CONTENDAS DO SINCORA,1,2,2,2,2,2,4,4,4,4.025,4.045,4.066,4.130,4.195,4.266,4.342,1,2,3,2,2,2,2,2,2
